ppd_id,PlanName,fy,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActAssets_GASB,MktAssets_Smooth,MktAssets_net,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,payroll,RequiredContribution,PercentReqContPaid,InvestmentReturn_1yr
8,Arkansas Teachers,2016,0,0,25,,15239000,14558577,,18812000,1,3573000,2888393,410461,1,
9,California PERF,2001,0,0,31,,166860000,,156274397,149155000,1,-17705000,30802000,321619,1,0
9,California PERF,2002,0,0,30,,156067000,,142787218,163961000,1,7894000,32873000,800965,1,0
9,California PERF,2003,0,0,20,,158596000,,144762706,180922000,1,22326000,34784000,1925044,1,0
9,California PERF,2004,0,0,29,,169899000,,167584099,194609000,1,24710000,35078000,4261347,1,0
9,California PERF,2005,0,0,29,,183680000,,189630881,210301000,1,26621000,36045000,5774120,1,0
9,California PERF,2006,0,0,29,,199033000,,211190801,228131000,1,29098000,38047000,6095029,1,0
9,California PERF,2007,0,0,28,,216484000,,251122682,248224000,1,31740000,40864000,6442384,1,0
9,California PERF,2008,0,0,27,,233272000,,237915479,268324000,1,35052000,44236000,7242802,1,0
9,California PERF,2009,0,0,26,,244964000,,178899883,294042000,1,49078000,45100000,6912377,1,0
9,California PERF,2010,0,0,25,,257070000,,201616074,308343000,1,51273000,44984000,6955049,1,0
9,California PERF,2011,0,0,24,,271389000,,241761791,328567000,1,57178000,43901000,7465397,1,0
9,California PERF,2012,0,0,23,,282991000,132947059,236981945,340429000,1,57438000,42599000,7772913,1,0
9,California PERF,2013,0,0,,,281928000,146341557,261989904,375019000,1,93091000,42575000,7988037,1,0
9,California PERF,2014,0,0,30,0,301257000,168187864,301761539,394726000,1,93469000,44958000,8777602,1,0
9,California PERF,2015,0,0,30,0,302418000,162046864,302764518,413700000,1,111282000,47458000,10079467,1,0
9,California PERF,2016,0,0,30,,,,298704002,,,,,10892489,1,0
10,California Teachers,2001,0,0,29,,107654000,,103137630,109881000,1,2227000,20585000,1794000,1,0
10,California Teachers,2002,0,0,29,,108160500,,96709460,120829000,1,12668500,21617000,2498000,1,0
10,California Teachers,2003,0,0,29,,108667000,,100372328,131777000,1,23110000,22649000,2545000,1,0
10,California Teachers,2004,0,0,100,,114094000,,116061289,138254000,1,24160000,22591000,4011000,1,0
10,California Teachers,2005,0,0,100,,121882000,,129523633,142193000,1,20311000,23257000,4335000,1,0
10,California Teachers,2006,0,0,100,,131237000,,144212376,150872000,1,19635000,24240000,4494000,1,0
10,California Teachers,2007,0,0,30,,148427000,,172377918,167129000,1,18702000,25906000,4584000,1,0
10,California Teachers,2008,0,0,30,,155215000,,161498193,177734000,1,22519000,27118000,4991000,1,0
10,California Teachers,2009,0,0,30,,145142000,,118430073,185683000,1,40541000,27327000,5152000,1,0
10,California Teachers,2010,0,0,30,,140291000,,129768107,196315000,1,56024000,26275000,5583000,1,0
10,California Teachers,2011,0,0,30,,143930000,,155345815,207770000,1,63840000,26592000,6612000,1,0
10,California Teachers,2012,0,0,30,,144232000,143118000,151318057,214765000,1,70533000,26404000,6844000,1,0
10,California Teachers,2013,0,0,30,,148614000,157176000,166348909,222281000,1,73667000,26483000,7224000,0,0
10,California Teachers,2014,0,0,30,0,158495000,179749000,190474016,231213000,1,72718000,27486000,7158000,1,0
10,California Teachers,2015,0,0,30,0,165553000,180633000,191822336,241753000,1,76200000,28013000,7707000,1,0
10,California Teachers,2016,0,0,30,0,169976000,177914000,189113487,266704000,1,96728000,29826000,7748000,1,0
11,Chicago Teachers,2001,0,0,40,,10387569,,10111549,10392705,1,5136,1690264,188923,0,0
11,Chicago Teachers,2002,0,0,40,,10619061,,9287655,11025482,1,406421,1759046,178955,0,0
11,Chicago Teachers,2003,0,0,40,,10494755,,9203331,11411528,1,916774,1706205,160196,0,0
11,Chicago Teachers,2004,0,0,40,,10392193,,10244326,12105681,1,1713487,1767631,202971,0,0
11,Chicago Teachers,2005,0,0,40,,10506471,,10777855,13295876,1,2789405,1968612,258883,0,0
11,Chicago Teachers,2006,0,0,30,,10947998,,11387461,14035627,1,3087629,1944358,328366,0,0
11,Chicago Teachers,2007,0,0,30,,11759699,,12772609,14677184,1,2917485,1863182,311140,0,0
11,Chicago Teachers,2008,0,0,30,,12069417,,11438488,15203741,1,3134324,1914559,290073,1,0
11,Chicago Teachers,2009,0,0,30,,11493256,,8375970,15683242,1,4189986,1996194,292145,1,0
11,Chicago Teachers,2010,0,0,30,,10917417,,8947470,16319744,1,5402327,2100345,355846,1,0
11,Chicago Teachers,2011,0,0,30,,10109315,,10312762,16940626,1,6831312,2090132,430092,0,0
11,Chicago Teachers,2012,0,0,30,,9364077,9471441,9437316,17375660,1,8011584,2224903,510101,0,0
11,Chicago Teachers,2013,0,0,30,,9422519,9709985,9674189,19044533,0,9622014,2239347,585445,0,0
11,Chicago Teachers,2014,0,0,30,0,10045543,10851672,10815695,19503894,1,9458351,2233281,719782,1,0
11,Chicago Teachers,2015,0,0,30,0,10344375,10711667,10689954,19951290,1,9606915,2273551,728489,1,0
11,Chicago Teachers,2016,0,0,30,0,10610747,10113297,10093068,20246140,1,9635393,2281269,749797,1,0
12,City of Austin ERS,2001,0,0,40,,1311300,,1172084,1360300,1,49000,316800,24831,1,0
12,City of Austin ERS,2002,0,0,40,,1250900,,1042371,1440200,1,189300,322000,26375,1,0
12,City of Austin ERS,2003,0,0,40,,1348800,,1259541,1551800,1,203000,312800,30661,1,0
12,City of Austin ERS,2004,0,0,30,,1356800,,1375017,1678200,1,321400,326600,32733,1,0
12,City of Austin ERS,2005,0,0,30,,1398800,,1460752,1794200,1,395400,348600,41610,1,0
12,City of Austin ERS,2006,0,0,30,,1497800,,1608943,1974000,1,476200,391000,49391,1,0
12,City of Austin ERS,2007,0,0,30,,1653500,,1698197,2112800,1,459300,417500,56081,1,0
12,City of Austin ERS,2008,0,0,30,,1481400,,1234481,2246900,1,765500,448700,57937,1,0
12,City of Austin ERS,2009,0,0,30,,1672500,,1511266,2330900,1,658500,422500,78185,1,0
12,City of Austin ERS,2010,0,0,30,,1711600,,1711577,2460700,1,749100,438900,74173,1,0
12,City of Austin ERS,2011,0,0,27,,1790900,,1665774,2723800,1,932900,451800,83894,1,0
12,City of Austin ERS,2012,0,0,27,,1897700,,1863468,2968400,1,1070700,470200,72826,1,0
12,City of Austin ERS,2013,0,0,26,,2047900,2130624,2130624,2909900,1,862000,490600,82517,1,0
12,City of Austin ERS,2014,0,0,24,0,2193881,2209800,2209800,3094056,1,900174,539159,95054,1,0
12,City of Austin ERS,2015,0,0,33,0,2308087,2144804,2144804,3391796,1,1083709,559830,,,0
12,City of Austin ERS,2016,0,0,,,2423300,2299688,,3591400,1,1168100,599600,,,
13,Colorado Municipal,2001,0,0,11,,1822413,,1601852,1746761,1,-75652,436582,25435,1,0
13,Colorado Municipal,2002,0,0,30,,1839632,,1422948,1966143,1,126511,474760,21972,1,0
13,Colorado Municipal,2003,0,0,40,,1907786,,1819240,2379229,1,471443,479098,45658,1,0
13,Colorado Municipal,2004,0,0,40,,1990652,,2087710,2576988,1,586336,549607,76835,1,0
13,Colorado Municipal,2005,0,0,40,,2358719,,2377471,3022624,1,663905,607217,85372,1,0
13,Colorado Municipal,2006,0,0,30,,2613386,,2751071,3288421,1,675035,636300,71329,1,0
13,Colorado Municipal,2007,0,0,30,,2892847,,3014274,3563199,1,670352,680442,81313,1,0
13,Colorado Municipal,2008,0,0,30,,2933296,,2221581,3838083,1,904787,718902,80086,1,0
13,Colorado Municipal,2009,0,0,30,,2932628,,2574275,3850821,1,918193,705097,86797,1,0
13,Colorado Municipal,2010,0,0,30,,2926045,,2883504,4005566,1,1079521,705265,86818,1,0
13,Colorado Municipal,2011,0,0,30,,2882691,,2883513,4160015,1,1277324,718169,64492,1,0
13,Colorado Municipal,2012,0,0,30,,3098721,3154897,3166132,4157621,1,1058900,523668,51267,2,0
13,Colorado Municipal,2013,0,0,30,,3291298,3493355,3508312,4502282,1,1210984,529003,56180,1,0
13,Colorado Municipal,2014,0,0,30,,3629400,3733496,3751468,4610967,1,981567,540468,65847,4,0
13,Colorado Municipal,2015,0,0,29,0,3777161,3639914,3660509,4780698,1,1003537,561518,79001,1,0
13,Colorado Municipal,2016,0,0,28,0,3879197,3748369,3773506,5213052,1,1333855,608223,75834,1,0
14,Colorado School,2001,0,0,11,,28947935,,25500904,29469608,1,521673,4954605,314649,1,0
14,Colorado School,2002,0,0,30,,28551607,,22023781,32463918,1,3912311,5278586,315825,1,0
14,Colorado School,2003,0,0,40,,28522222,,27123836,37914502,1,9392280,5140918,571156,1,0
14,Colorado School,2004,0,0,40,,28594699,,30019896,40783531,1,12188832,5303439,918025,1,0
14,Colorado School,2005,0,0,40,,19184225,,31956662,25963972,1,6779747,3241214,627082,0,0
14,Colorado School,2006,0,0,30,,20535733,,21635957,27708682,1,7172949,3371186,541412,1,0
14,Colorado School,2007,0,0,30,,22070769,,23043186,29241428,1,7170659,3618258,621617,1,0
14,Colorado School,2008,0,0,30,,21733329,,16415800,31000202,1,9266873,3804927,630096,1,0
14,Colorado School,2009,0,0,30,,21054910,,18302813,30412815,1,9357905,3922175,735408,1,0
14,Colorado School,2010,0,0,30,,20321736,,19870277,31339754,1,11018018,3900662,731374,1,0
14,Colorado School,2011,0,0,30,,19266110,,19274580,31986199,1,12720089,3821603,601138,1,0
14,Colorado School,2012,0,0,30,,20266574,20636677,20676355,32619033,1,12352459,3819066,672156,1,0
14,Colorado School,2013,0,0,30,,21369380,22682339,22740003,35437312,1,14067932,3938650,779459,1,0
14,Colorado School,2014,0,0,30,,22143356,22846249,22920607,36386532,1,14243176,4063236,811706,1,0
14,Colorado School,2015,0,0,29,0,22871661,22062124,22152768,37677153,1,14805492,4235290,944871,1,0
14,Colorado School,2016,0,0,28,0,23263344,22465388,22581046,41352968,1,18089624,4349320,990376,1,0
15,Colorado State,2001,0,0,11,,28947935,,25500904,29469608,1,521673,4954605,314649,1,0
15,Colorado State,2002,0,0,30,,28551607,,22023781,32463918,1,3912311,5278586,315825,1,0
15,Colorado State,2003,0,0,40,,28522222,,27123836,37914502,1,9392280,5140918,571156,1,0
15,Colorado State,2004,0,0,40,,28594699,,30019896,40783531,1,12188832,5303439,918025,1,0
15,Colorado State,2005,0,0,40,,12536916,,31956662,17541744,1,5004828,2064764,398919,0,0
15,Colorado State,2006,0,0,30,,13327290,,14041260,18246010,1,4918720,2099325,361714,1,0
15,Colorado State,2007,0,0,30,,14220681,,14852029,19390296,1,5169615,2236518,385352,1,0
15,Colorado State,2008,0,0,30,,13914371,,10508301,20498668,1,6584297,2371639,437567,1,0
15,Colorado State,2009,0,0,30,,13382736,,11611758,19977217,1,6594481,2384137,426999,1,0
15,Colorado State,2010,0,0,30,,12791946,,12487105,20356176,1,7564230,2392080,452821,1,0
15,Colorado State,2011,0,0,30,,12010045,,12022661,20826543,1,8816498,2393791,326274,1,0
15,Colorado State,2012,0,0,30,,12538675,12766459,12797352,21191495,1,8652820,2384934,393991,1,0
15,Colorado State,2013,0,0,30,,13129460,13935754,13980460,22843725,1,9714265,2474965,495241,1,0
15,Colorado State,2014,0,0,30,,13523488,13956630,14013947,23408321,1,9884833,2564670,534459,1,0
15,Colorado State,2015,0,0,29,0,13882820,13391398,13460536,24085671,1,10202851,2641867,601857,1,0
15,Colorado State,2016,0,0,27,0,14026332,13538772,13626180,25669916,1,11643584,2710651,617584,1,0
16,Connecticut SERS,2001,,,,,7638854,,7791104,12105366,1,4466513,2784496,354208,1,0
16,Connecticut SERS,2002,0,0,29,,7893684,,7093403,12806115,1,4912431,2852166,415493,1,0
16,Connecticut SERS,2003,,0,,,8058587,,6996443,14223786,1,6165199,2654252,425902,1,0
16,Connecticut SERS,2004,0,0,27,,8238418,,7682453,15128502,1,6890084,2816729,473998,1,0
16,Connecticut SERS,2005,,0,,,8517677,,8149107,15987547,1,7469869,2980104,516298,1,0
16,Connecticut SERS,2006,0,0,25,,8951393,,8765151,16830349,1,7878956,3107928,623063,1,0
